id,text,labeler_a_label,labeler_b_label,notes
odc_0081,"Thanks for flagging this! We have seen intermittent checkout failures where the UI shows a generic “payment processing” error even though the card itself is fine. This can happen for a few reasons, for example a temporary payment processor block, a required bank verification step that did not complete, or a transient billing state on the account. In some cases, retrying later succeeds without any account changes. From what I can see on our side, your recent payments have now gone through successfully, so you should no longer be blocked from purchasing credits! If you are still seeing errors, feel free to contact Support ([EMAIL]) and share the approximate time of the failure, your billing currency, and what browser you were using. From there, we can look up the exact payment failure reason and advise on next steps.",actionable,,
odc_0088,"Hi [USER] , I’d use the newer realtime prompting guide as a starting point for gpt-realtime-mini , but not assume it transfers perfectly. gpt-realtime-mini seems optimized for cost and latency, while the newer guide focuses on realtime-agent structure: clear roles, tool rules, confirmations, interruptions and concise responses. So I’d: use the newer guide’s structure keep prompts shorter for mini test tool-calling and interruption behavior separately",actionable,,
odc_0091,After limit is expired . I observed more and Context automatically … is conceptually and architecturally is incorrect. I know what I am talking about. Main concern it interrupting agent in middle of modification or thought process. Then only point is not clear how it impact credits and limits,actionable,,
odc_0092,"luto: The problem is simple that of finding which tiles are missing from a Scarabeo game, and grouping them by letter. Here is the photograph i gave as input. This is my model answer image 812×603 25.3 KB image 783×521 25.1 KB",actionable,,
odc_0094,see github ussue - …./openai/openai-agents-python/issues/1519 Downgrade openai to 1.99.9; it’s related to recent changes (shipped ~2h ago) that will require changes to the agents package. This resolved the issue.,underspecified,,
odc_0113,I’m having similar issue. The backend log show the error happen after it hit “.well-known/openid-configuration”. Could be some validation errors but the message is not useful at this time. Seems liked this is a new issues. Submitted another app a few days ago with the same oauth config and it was fine.,underspecified,,
odc_0130,"The Math Behind “There Is Only One AI” Last post I threw out a theory: all AI systems are converging toward the same place, and eventually you don’t have competing AIs you have one, distributed. A few people read it. Nobody argued with it. That’s worse than disagreement it means it read like opinion. So let me show the math. 1. Why they converge Every major AI system is built on the same core operation: minimize a loss function over a data distribution. In simplified terms, every model is solving: minimize L(θ) = -𝔼[log P(x|θ)] θ is the model’s parameters. x is the data. L is how wrong it is. Training = make L smaller. Here’s what matters: if two models are minimizing the same type of loss function over substantially overlapping data, their internal representations converge. This isn’t theory — MIT published this in 2024 as the Platonic Representation Hypothesis. As models scale, their l",actionable,,
odc_0132,"The prior conclusion that what you’d get is similar to inpainting an existing “image-1/gpt-4o” image in ChatGPT is backed by further evidence like yours. Does image edit with masking actually work? API In ChatGPT, it certainly doesn’t “work” to keep edits inside a pixel-based perimeter, and what goes in to gpt-4o cannot be overlaid with gpt-4o output without significant shift of it essentially being a re-telling. I’m guessing that at most “mask” is a “color here” hint with the technology. The gpt-image-1 example, also used in the API reference, shows no need for a mask or a base image to remix several images into a new one. Unaltered original? dall-e-2 gives near pixel accuracy and with just minor glitches sometimes around the mask area. Grabbing their picture just now. A sunlit lounge with wicker furniture and a decorative plant next to an indoor pool is displayed on a computer screen w",opinion_or_request,,
odc_0137,"Ah, I should’ve clarified it was back with completions and I would end the prompt with… 15) Then it would complete the list down to 1)… I seem to recall something years ago about labeling output to “count”… but not with JSON as that’s relatively new. _j: I’m assuming you aren’t looking for instructions for roadside improvised explosive devices… And no, jailbreaks are more Lounge material I’d say. Just trying to get something positive going. We’ve got a ton of super smart people here (and me!) Small smile. Seriously, though, more tips like… Better to repeat instructions in system and user prompt? Best to put X at the beginning or end of prompt? I’ll admit that with as good as the models are becoming, “hacks” aren’t really needed much anymore. Even negative prompting seems to be getting a little better? I asked Chat-Gippity to look at our community and come up with topic ideas. This was th",opinion_or_request,,
odc_0138,"Welcome to the dev Community! [USER] Based on the information provided, it appears the issue may be related to how the marketplace assets are being served in certain regions. Since troubleshooting this further may require account-specific configuration, could you please open a support ticket through our Help Cente r and share the case ID here so I can investigate further? ~ Smith",underspecified,,
odc_0145,"Observations You currently have an application that, by virtue of the function’s apparent usefulness and applicability to a task, GPT-4 will work, but GPT-4.1 When using a model that is 1/15th the cost for input and 2/15th the cost for output, correlating to the underlying computation, and for which multiple developers have reported even further degradation since release, you do not observe function-calling on the Assistants API endpoint in the same pattern. First round of assurance for you to perform Functions being placed into AI context will consume tokens that you are billed for, roughly equivalent to the natural language version of the schema and text. See that you face a larger bill when including functions on the new model See that the AI can answer, “what functions and function methods can you call?” Are the functions even present, or is there a bug? Tuning up functions While gpt",actionable,,
odc_0152,"We noticed that the realtime AI docs were updated when the new version came out, but there’s loads of mistakes and omissions.",opinion_or_request,,
odc_0156,"Hey guys, quick question(s) and a trick from me (if useful). I run a Postgres-native SaaS. 120+ tables, RLS on everything, the public API is security_invoker views plus security definer RPCs behind PostgREST. The real access logic lives in the catalog, not in the app code, which is great right up until your agent needs to know what is actually in there right now. My problem was never that the agent could not find the answer. It was that finding it cost a fortune. It would reconstruct the schema from migrations top to bottom, or grep a pg_dump that reads like a phone book, connect ten things by hand, and burn half the context window before saying anything useful. A dump is a wall, not an index. So before I keep tweaking mine, what do you actually use for this? Live MCP server on prod, tbls, a hand-written doc you pray is current, just the dump? Curious what survives past 100 tables. Here ",actionable,,
odc_0162,"After completing the sign-in flow, the browser is redirected to a loopback (localhost) OAuth callback, but nothing is listening on port 1455 . The page fails to load with “Hmmm… can’t reach this page – localhost refused to connect (ERR_CONNECTION_REFUSED)” and the login never completes. Error (as shown in browser) Message: Hmmm… can’t reach this page Detail: localhost refused to connect Code: ERR_CONNECTION_REFUSED URL: [URL] (authorization code and state redacted in this report) Expected result After sign-in, the local callback endpoint accepts the request, the app/CLI captures the tokens, and the session is established. Actual result The callback to [URL] fails with ERR_CONNECTION_REFUSED and the login flow halts. Environment OS: [fill in e.g., Windows 11 23H2 / macOS 14.5 / Ubuntu 22.04] Browser: [fill in e.g., Edge 126 / Chrome 126 / Safari 17] Network: [fill in e.g., corporate VPN/p",actionable,,
odc_0194,"My build process versions the widget HTML but I keep all of the old widget versions around (well, at least for now - eventually will purge). That said, there were some other posts here about OAI relaxing the widget change process after feedback (cached for ~hours but not locked forever). My build has widget.html which is what is advertised as the resource URI but it’s just a shell with the React mount root and then the CSS and JS are versioned so if you load widget.html, you always get the most recent version but since the old builds are kept, if you cached the contents, it would still render the older version. Hope that helps.",underspecified,,
odc_0197,"Yes, I am seeing this issue as well. Attaching a single file works as expected. Attaching two files stays in_progress . I aborted the test after ten minutes. Thank you for raising this. I will ping the team to take a look.",underspecified,,
