id,text,label,split,source_url,topic_id,post_id,post_number,category,topic_title,annotation_note
odc_0012,"Hi [USER] The Codex team reset it all for everyone on a paid subscription due to having noticed issues over the past 24 hours. Codex being the epic team that they are do resets like this to show the users appreciation during times when things may be a bit wonky with the tool. Sort of a “sorry this happened, but we care so want to reset limits for you all as a thanks for understanding”. This was one of those cases. If you follow Tibo on X you see when he does the resets. [URL] That should answer all the questions you had tbh. But if not, I will try to help you out here in the order you listed: See X post I linked. Again, this happens every so often by the Codex team so its great to follow them on X. they are gone. you get to start fresh. they dont roll forward. you start fresh They are determined by the Codex team when they feel a reset is warranted. Again, follow them on X and you can se",actionable,validation,https://community.openai.com/t/questions-about-an-unexpected-codex-usage-reset-and-new-quota-period/1382610/2,1382610,1902621,2,Codex,Questions about an unexpected Codex usage reset and new quota period,some concrete technical context
odc_0013,You were just the last straw that broke the camel’s back. It’s not that I am not concerned about ethics. It is just that it should have it’s own place.,opinion_or_request,train,https://community.openai.com/t/ethics-of-ai-put-your-ethical-concerns-here/1119333/3,1119333,1513045,3,Community,Ethics of AI - Put your ethical concerns here,general discussion or product take
odc_0014,"Great work on starting this new image gallery thread, so exciting! Here’s is my suggestion for this month as a theme: Spring / New Beginnings Anything inspired by spring, fresh starts, growth, change, light returning, new energy or the feeling of something beginning. Now this is just a suggestion, so anyone, feel free to object to that or maybe add something more to my suggestions. I thought since this is a new thread and spring, it’s kind of fitting. So here comes my first image of the suggested theme. Prompt Create an image of spring and new beginnings, a young woman with blond long hair, walking in the nature, where everything is starting to behave like a new beginning, strong authored visual language, strongly realistic rendering, deepened material texture, pronounced patina and wear, subtle influence from Jules-Cyrille Cavé, salon romanticism, decorative centered figure design, medi",actionable,train,https://community.openai.com/t/june-2026-theme-through-time-chatgpt-api-image-generative-art-gallery-prompt-tips-and-help/1378298/2,1378298,1886926,2,Community,"June 2026 (Theme: Through Time) — ChatGPT / API Image Generative Art Gallery, Prompt Tips, and Help",concrete technical details/code/error context
odc_0015,"Thanks, I tried this way, now Agent is doing better than previous. I just gave input format a list of chunks in string format [“[1]/n”chunk_text: here will be out chunk,URL:here our url will be”]",opinion_or_request,train,https://community.openai.com/t/facing-citation-issue-in-summary/1353936/3,1353936,1835907,3,Prompting,Facing citation issue in summary,"general preference, reaction, or request"
odc_0016,"Just wonder if this is expected? As I’ve been using 5.3 Codex even after 5.4 and 5.5 got released. I personally find it gives me the best outcome, for me even better experience than gpt 5.5. If expected, are we going to get any more codex models or going forward only generic gpt models only?",opinion_or_request,train,https://community.openai.com/t/gpt-5-2-and-gpt-5-3-codex-have-been-sunset-in-codex-with-chatgpt-subscriptions/1382273/1,1382273,1901648,1,Codex,GPT-5.2 and GPT-5.3-Codex have been sunset in Codex with ChatGPT subscriptions,"general preference, reaction, or request"
odc_0017,model property in request parameter is missing. [URL] model property is missing in Request body section.,opinion_or_request,validation,https://community.openai.com/t/realtime-sessions-create-document-missing-model-property/1361406/1,1361406,1840272,1,Documentation,Realtime sessions create document missing model property,general discussion or product take
odc_0018,Cool. Do you know how I go about requesting this? None of the OpenAI Github repos seem like the right place to raise this issue.,underspecified,train,https://community.openai.com/t/chat-completions-always-stored/1293717/3,1293717,1742361,3,Documentation,Chat completions always stored,help/problem report without enough context
odc_0019,"I’m working with the model openai/gpt-oss-20b, but I’m running into an issue. Even when I specifically instruct it to return a single line of JSON output, it still generates detailed reasoning that many times there is no JSON data structure in it, sometimes it is a list, sometimes it is plain text. What would you suggest as a solution to this problem?",actionable,train,https://community.openai.com/t/getting-single-line-json-from-openai-gpt-oss-20b/1360317/1,1360317,1837758,1,Open Models,Getting single line JSON from openai/gpt-oss-20b,specific implementation or diagnostic details
odc_0020,"Happens as well, on a production app as we try to submit a new version of it. It worked last week",opinion_or_request,test,https://community.openai.com/t/oauth-mcp-server-works-in-chatgpt-developer-mode-create-app-but-fails-in-app-review-form-what-does-unsupported-oauth-config-type-really-mean/1380378/3,1380378,1894995,3,ChatGPT Apps SDK,"OAuth MCP server works in ChatGPT Developer Mode (""Create App"") but fails in App Review form — what does ""unsupported OAuth config type"" really mean?",general discussion or product take
odc_0021,"As per the MCP specification for tool discovery and pagination: [URL] ChatGPT should support pagination when retrieving tools from an MCP server. The current behaviour appears to be that only the first page of tools is returned, with subsequent pages not being requested. This does not comply with the MCP specification and significantly limits the usefulness of ChatGPT apps that expose a large number of tools through MCP. Could you please provide an update on whether this issue is being addressed and, if so, an estimated timeline for a fix?",actionable,test,https://community.openai.com/t/bug-apps-sdk-list-tools-does-not-support-pagination/1382173/1,1382173,1901282,1,ChatGPT Apps SDK,"[BUG] Apps SDK ""list/tools"" - does not support pagination",concrete technical details/code/error context
odc_0022,Thanks for the detailed reply [USER] . Any timeline you have in mind for when you want to start running experiments with recommending Apps in chat ?,underspecified,train,https://community.openai.com/t/in-chat-recommendation-of-mcp-apps/1382367/5,1382367,1904907,5,ChatGPT Apps SDK,In Chat Recommendation of MCP Apps,short question without enough supporting detail
odc_0023,"When I shipped my first AI feature, I budgeted by gut feel, and the real bill at scale was nothing like my estimate — re-embedding, retries, and a too-expensive default model quietly added up. I’d have made very different architecture choices if I’d seen the numbers up front. So I’m curious how others here handle it: do you forecast cost before building , or find out after? What surprised you most — embeddings, the vector DB, model choice, or retries? Trying to learn how people approach this earlier in the process.",opinion_or_request,train,https://community.openai.com/t/how-do-you-forecast-what-an-ai-feature-will-actually-cost-before-you-build-it/1382064/1,1382064,1900964,1,API,How do you forecast what an AI feature will actually cost — before you build it?,"general preference, reaction, or request"
odc_0024,"3 апреля оплатил подписку pro. Должна была действовать до 3-го мая, но вчера вечером , прописка слетела полностью.. в чем может быть проблема? Опасно ли оплачивать снова подписку Pro? моя работа остановилась… f69c24b2a264edfa01236fdc0c5440cf 1920×2560 1.23 MB IMG_0349 1920×2560 1.75 MB",actionable,train,https://community.openai.com/t/pro/1380031/1,1380031,1893712,1,ChatGPT developer tools,Пропала подписка Pro! Могу ли я оплатить новую? В чем причина,concrete technical details/code/error context
odc_0025,"I am sorry they seem all working. it was my fault, I need to read the document carefully and use the right voice names. Thanks anyway for letting me know all is working as expected",opinion_or_request,train,https://community.openai.com/t/are-all-the-tts-speech-models-down/1383250/4,1383250,1905042,4,API,Are all the TTS/Speech models down?,general discussion or product take
odc_0026,"Welcome to the forum! You are welcome to discuss Codex issues on the forum, however the official place to report and track them is the GitHub issue tracker for OpenAI Codex . I had ChatGPT look for the closest related issue and it identified: github.com/openai/codex Windows PowerShell UTF-8 Markdown files can render as mojibake in agent context, causing patch mismatch and unreliable edits opened 09:39PM - 21 Mar 26 UTC closed 09:52PM - 21 Mar 26 UTC Gyropilot2 bug windows-os CLI tool-calls ## Problem On Windows with PowerShell 5.1, UTF-8 Markdown files sometimes showe … d up as mojibake in the agent/tool context even though the files themselves were valid UTF-8 on disk. Typical example: - `—` showing up as `â€”` This made patch-based edits unreliable, because the tool seemed to be matching against the misdecoded text it was seeing rather than the real file contents. ## What I observed Th",actionable,train,https://community.openai.com/t/codex-on-windows-utf-8-mojibake-and-patch-context-mismatch-issues/1384116/2,1384116,1908662,2,Codex,Codex on Windows: UTF-8/mojibake and patch-context mismatch issues,some concrete technical context
odc_0027,"I have noticed that when I change the default “style and tone” setting to a cynical tone, the model begins producing significantly more spelling mistakes in French. I would like to know if other users have experienced similar issues in French or in other languages when adjusting tone or style settings.",underspecified,test,https://community.openai.com/t/increased-spelling-errors-in-non-english-languages-when-using-cynical-tone-preset/1366280/1,1366280,1853025,1,Prompting,Increased Spelling Errors in Non-English Languages When Using Cynical Tone Preset,help/problem report without enough context
odc_0028,"Hi and welcome to the community! There are a few things here that do not seem to work as expected when using Prompt objects in this context. In one case, after about 12 turns, the model asked for the user messages again as if they had disappeared. Rather than suggesting a workaround, I think the more useful point is that Prompt objects are scheduled for deprecation on November 30 this year. Going forward, the best advice is probably to manage prompts on the developer side instead. Sorry if this is not the reply you were hoping for, but I think it makes the most sense. Feel free to ping me if needed.",opinion_or_request,train,https://community.openai.com/t/prompt-library-variables-used-for-input-seem-to-break-context-in-multi-turn-chats/1382366/2,1382366,1907180,2,API,Prompt Library variables used for input seem to break context in multi-turn chats,"general preference, reaction, or request"
odc_0029,TLDR: Vibe coders/coding novices using AI for coding I have a painful lesson turned into a tip for you → Codex “ask” on your repo is your BEST source for how to do anything with your repo. Nothing else on the market will come close because the other AIs are guessing. I have not tried all the AIs but I’ve tried a lot of them. Codex does not guess. That’s what I wanted and what I needed. Answers. Not guesses. My painful journey these past few weeks… I wasted multiple DAYS of work (I mean 10+ hour days) working between Claude and ChatGPT trying to solve for an API call to my hosted GPTs using a Flowise (I highly recommend them). Both Claude and ChatGPT had me stuck in iteration prison (although I learned a lot). I am a coding novice. I have limited prior exposure using several coding language but only in special projects here and there over the years - nothing serious and no real mental fou,opinion_or_request,train,https://community.openai.com/t/vibe-coding-tip-for-coding-novices-like-me-use-the-codex-ask-button-to-understand-your-code/1307386/1,1307386,1760561,1,Codex,Vibe Coding Tip for Coding Novices Like Me: Use the Codex Ask Button to Understand Your Code,"general preference, reaction, or request"
odc_0030,Seems the prompt caching is broken (at least for GPT 5.5 and 5.4) It used to work a few days ago. Does anyone else have the same problems?,underspecified,validation,https://community.openai.com/t/prompt-caching-broken-for-gpt-5-4-and-5-5/1383465/1,1383465,1905766,1,API,Prompt caching broken for GPT 5.4 and 5.5,help/problem report without enough context
odc_0031,"“Find the undefined variables being used, AI!” Here are the identifiers that are used but never defined in your Node.js code: get_horoscope const horoscope = get_horoscope(JSON.parse(item.arguments)) You defined a function named getHoroscope , not get_horoscope . So get_horoscope is an undefined variable (and function) here. input_list input_list.push({ Earlier you defined: let input = [ { role: ""user"", content: ""What is my horoscope? I am an Aquarius."" }, ]; There is no input_list variable anywhere; this is undefined. You probably meant to use input . json output: json.dumps({ horoscope }) JavaScript has the global JSON , not json , and it uses JSON.stringify , not dumps . json is therefore an undefined variable here. Wrap-up: the undefined variable usages are get_horoscope , input_list , and json ; they should correspond to your defined getHoroscope , input , and JSON.stringify respect",actionable,train,https://community.openai.com/t/typescript-sample-code-for-function-calling-is-wrong/1368645/2,1368645,1858978,2,Documentation,Typescript Sample Code for Function Calling is wrong,concrete technical details/code/error context
odc_0032,"Hello Everyone, Codex app constantly Context automatically compacted ( every request ) which lead to waste of credits (financial aspect and limits ) without completing any task. Platform Mac Arm latest version Version 26.616.41845 • Released Jun 19, 2026 Please see attached screenshot . The question is app should be production ready or it in some earlier stages ? Also constant crashes like time to time it just quits . I can provide crash reports .3 Screenshot 2026-06-20 at 6.56.55 PM 1920×1642 216 KB",actionable,validation,https://community.openai.com/t/is-codex-production-ready/1384224/1,1384224,1909128,1,Codex,Is codex production ready?,concrete technical details/code/error context
odc_0033,"You’re very right, we’re on this right now. My only suggestion here: make sure it’s about the user’s intent and not about getting your app surfaced so the signal remains",opinion_or_request,validation,https://community.openai.com/t/in-chat-recommendation-of-mcp-apps/1382367/2,1382367,1901930,2,ChatGPT Apps SDK,In Chat Recommendation of MCP Apps,general discussion or product take
odc_0034,"Hey there and welcome! Sounds like a neat project. jack.kausch: I have created an information retrieval engine that operates over document embeddings in different languages, Just to be clear here, do you mean like, different natural languages that represent the contents of the docs, or different programming languages here? jack.kausch: i.e., if I reused the same features and indexed a large number of vector databases with anchor vectors that represented those features, and pooled them continuously until I had one very large cosine-similarity feature space, would it be useful for combining documents, or would it just contain meaningless noise and strange artefacts? Perhaps yes, but perhaps this might also be rather over-complicating something that could be solved with a simple graph database? You can essentially just make your own pool of vectorized data that has any kind of arbitrary con",opinion_or_request,train,https://community.openai.com/t/combining-different-latent-spaces/1357813/2,1357813,1835265,2,Open Models,Combining Different Latent Spaces?,general discussion or product take
odc_0035,"Hi everyone — just wanted to chime in and fully support the concerns raised here. I’m also a frustrated user who relied heavily on the original voice input features in the ChatGPT app. The removal of the separate microphone button on iPad and the change to how voice dictation works (especially losing the ability to review or edit the transcription before sending) has been a real step backward in both usability and accessibility. Being able to dictate at my own pace, edit with voice, and build prompts incrementally was a key part of my workflow — and losing that has made the app feel much more rigid and frustrating to use. This update has not only affected productivity, but it’s also made the app significantly less accessible for users like me who have an accent and who depend on voice input. Please, OpenAI — bring back the separate mic button and the ability to review/edit transcribed te",opinion_or_request,test,https://community.openai.com/t/voice-dictation-no-longer-shows-transcribed-text-before-sending-major-usability-regression/1177339/5,1177339,1617979,5,ChatGPT developer tools,Voice dictation no longer shows transcribed text before sending (major usability regression),mainly product feedback or feature/pricing request
odc_0036,"Hi, I am sharing my experience with an account deactivation process and would like to understand whether others have encountered similar situations. My account was deactivated without prior notice or a clear explanation. I submitted an appeal, which resulted in a standard response stating that: the case had been reviewed the deactivation decision was upheld no further appeals would be considered Following this, I contacted support multiple times to request clarification. The consistent outcome across all responses was: the Trust & Safety decision is final no specific details about the reason for deactivation can be provided escalation to a specialist did not change the result there was no indication of: account compromise missing identity or age verification no concrete violation was specified The final recommendation was to create a new account using a different email address. Observati",opinion_or_request,train,https://community.openai.com/t/account-deactivated-appeal-rejected-without-explanation-consistency-question/1382984/1,1382984,1904064,1,Community,Account Deactivated – Appeal Rejected Without Explanation (Consistency Question),"general preference, reaction, or request"
odc_0037,"Yeah—this is actually very much possible now. What you’re describing is basically turning your eCommerce app into something that feels like a real store assistant, not just a search bar… and honestly, that’s where things are heading. I’ve seen similar use cases discussed in a few practical AI implementation guides on the TechQware blog as well, and the key idea is: don’t think of it as “just a chatbot”, think of it as a system. So coming to your points: 1) Voice-based welcome after login Yeah you can do this. Like when user logs in → trigger a welcome message → optional voice interaction. You’ll need: speech-to-text (user voice → text) OpenAI Assistant (understands + replies) text-to-speech (reply back in voice) Just one thing… don’t make it too aggressive. Auto-speaking bots can get annoying fast 2) Product search + recommendations This is where it really shines. Instead of typing keywo",opinion_or_request,validation,https://community.openai.com/t/integration-assistant-api-in-ecommerce-web-mobile-applications/590410/6,590410,1894058,6,Community,Integration assistant API in Ecommerce Web & Mobile Applications,mainly product feedback or feature/pricing request
odc_0038,"PaulBellow: I encountered a frustrating issue where the model simply wouldn’t reliably produce lists of exact lengths (like exactly 12 or 15 items). Forget strawberries… You usually cannot accurately count how many characters are in a text passage. To solve this, you can use the following method: First, write your response as a JSON object. In this JSON object, assign each character from the provided text as a separate value, each with its own index number. After doing this, you can easily and accurately count and report the total number of letters in the text by referring to the indexes. Input text, count length in characters (code points): “I encountered a frustrating issue where the model simply wouldn’t reliably produce lists of exact lengths (like exactly 12 or 15 items).” The image shows a snippet of code displaying a JSON object that maps numbers to individual characters, with a n",actionable,train,https://community.openai.com/t/prompt-engineering-showcase-your-best-practical-llm-prompting-hacks/1267113/2,1267113,1705297,2,Prompting,Prompt Engineering Showcase: Your Best Practical LLM Prompting Hacks,concrete technical details/code/error context
odc_0039,I have noticed this as well. Its very frustrating as its a core part of mcp apps. I had to code around this limitation essentially killing some features of my app. I built a test app where the only action was to test to see if a secret string could be read out of chat through update model context and it was not working. One thing to note is that I found if I refresh the page everything starts working. My theory is that there is some sort of race in the initialization code on the ChatGpts side of the message bridge.,opinion_or_request,test,https://community.openai.com/t/ui-update-model-context-not-updating-model-context/1377753/2,1377753,1898644,2,ChatGPT Apps SDK,Ui/update-model-context Not Updating Model Context,mainly product feedback or feature/pricing request
odc_0040,"I prefer structured-requests, but without long queries. If I want to be more specific in something, I definitely add a comment in natural language, sometimes even quite informal peer-style like.",opinion_or_request,train,https://community.openai.com/t/natural-language-requests-vs-long-structured-prompts-what-actually-improves-performance/1381299/2,1381299,1898158,2,Prompting,Natural-language requests vs. long structured prompts: what actually improves performance?,mainly product feedback or feature/pricing request
odc_0041,"Translated by AI Click to see original version Trigger-Based Dependency Memory System for LLM Agents Концепция Современные LLM обладают большим окном контекста, однако даже при очень больших размерах контекста остаются фундаментальные проблемы: потеря дальних зависимостей; нарушение архитектуры проекта; ломание кода при локальных изменениях; отсутствие устойчивого понимания последствий изменений; неэффективное использование контекста. Человек-программист обычно не удерживает в памяти весь проект целиком. Вместо этого он использует: ассоциативные связи; память о последствиях; “опасные места”; архитектурные ограничения; понимание зависимостей. Предлагается система: Trigger-Based Dependency Memory (TDM) где ИИ хранит не только информацию, но и: последствия изменений; критические зависимости; архитектурные ограничения; предупреждения; накопленные уроки. Основная идея При работе с объектом пр",opinion_or_request,validation,https://community.openai.com/t/trigger-based-dependency-memory-system-for-llm-agents/1381681/1,1381681,1899410,1,Community,Trigger-Based Dependency Memory System for LLM Agents,general discussion or product take
odc_0042,"Already spent money for 35000 Credits to get a large scale Codex-Github-Project pushed forward. Now I can’t add anymore credits. Tried two CreditCards and always says error on payment processing site. However cards are still working everywhere else, so this is not a limit issue. Anything known about payment processing issues?",underspecified,test,https://community.openai.com/t/unable-to-buy-more-credits-why/1367118/1,1367118,1855197,1,Codex,Unable to buy more credits. Why?,help/problem report without enough context
odc_0043,"Feature request: Side threads / parallel scratchpad chats inside a Project or conversation I often work on large projects in ChatGPT where the main conversation contains important long-term context. During that work, I frequently have small side questions: quick technical checks, terminology questions, small experiments, or temporary “scratchpad” thoughts. Today, the workaround is to open a separate chat, but that separate chat does not automatically know the project context. This means I have to re-explain the project, copy context over manually, or clutter the main conversation with small side questions that are not important long-term. I would love a feature that allows “side threads” or “parallel scratchpad chats” inside the same Project or main conversation. Suggested behavior: A main chat remains the clean project timeline. One or more side chats can be opened next to it. Side chat",opinion_or_request,train,https://community.openai.com/t/feature-requst-side-chats-with-shared-project-context/1380390/1,1380390,1894925,1,ChatGPT developer tools,Feature requst: Side chats with shared project context,mainly product feedback or feature/pricing request
odc_0044,"Spent another couple of hours building this: github.com GitHub - TechSpokes/skill-postgres-introspection: AI Agent Skill for Postgres Database Introspection AI Agent Skill for Postgres Database Introspection Help yourself, help your agents helping you",underspecified,validation,https://community.openai.com/t/what-do-you-use-to-keep-your-coding-agent-oriented-in-a-big-postgres-schema/1384057/2,1384057,1908656,2,Codex,What do you use to keep your coding agent oriented in a big Postgres schema?,help/problem report without enough context
odc_0045,funny the dev didn’t even want to explain in this thread because they know they’re so bad at implementing restriction,opinion_or_request,train,https://community.openai.com/t/censorship-finally-got-me-for-no-good-reason/1147329/4,1147329,1658127,4,ChatGPT developer tools,Censorship Finally Got Me For No Good Reason,general discussion or product take
odc_0046,"This is a fair complaint. Structured output is usually used exactly because people need a stable contract, so a schema passing for weeks & weeeks and then failing overnight is pretty painful in production. it would still be helpful to have a validator changelog or versioned schema profile…otherwise teams can’t tell whether they made a mistake or whether server-side validation behavior changed.",underspecified,train,https://community.openai.com/t/structured-output-schema-validation-changed-without-notice-previously-valid-schemas-now-rejected/1384139/2,1384139,1908849,2,API,Structured Output Schema Validation Changed Without Notice — Previously Valid Schemas Now Rejected,help/problem report without enough context
odc_0047,curt.kennedy: Answer in the spirit and style of Ludwig Wittgenstein Thanks for sharing! It is nice prompt.,opinion_or_request,train,https://community.openai.com/t/do-system-prompts-really-make-a-big-difference/1370646/6,1370646,1865254,6,Prompting,Do System Prompts Really Make a Big Difference?,general discussion or product take
odc_0048,"Hi guys, Recently I’ve been working on several agent skills, and while the process is not exactly hard, I found it is not very scalable if you want to do it properly every time. So I made a public GitHub template for this: [URL] The idea is simple: put rough source material, notes, examples, etc. into .intake/ , then let an AI coding agent turn that into a structured skill repo with SKILL.md , docs, references, validation scripts, packaging, and release workflow. Basically, less “let me manually rebuild the same repo structure again” and more “please, dear future robot coworker, follow the recipe.” LoL. It is meant for people who want a repeatable path from skill idea → validated repo → releasable skill package. Would love to hear what you guys think, especially from anyone building reusable skills or internal agent workflows. And yes, if it saves you a bit of time, don’t forget to star ",actionable,train,https://community.openai.com/t/template-for-scalable-agent-skill-creation-looking-for-feedback/1379825/1,1379825,1892981,1,Community,Template for Scalable Agent Skill Creation (Looking for Feedback),concrete technical details/code/error context
odc_0049,I think the problem is the image analyzer not the AI. The AI can’t see - it relies on basically OCR for something like this. And that can have errors. try next time to block out the board? Perhaps also specify that the larger characters on the tiles are always letters and the smaller characters on the tile are always numbers.,underspecified,validation,https://community.openai.com/t/yet-another-unsolvable-problem-for-llm-please-help-with-a-proper-prompt/1370182/5,1370182,1863898,5,Prompting,Yet another unsolvable problem for LLM ? Please help with a proper prompt,help/problem report without enough context
odc_0050,"THAT ANNOYING BELL SOUND AFTER EVERY VOICE ANSWER ! WHY ??? Anyone knows how to stop it? It’s very annoying, loud, and don’t know what’s the purpose of it. There should be a way, one can turn this off than suffering.",underspecified,train,https://community.openai.com/t/that-annoying-bell-sound-after-every-voice-answer-why/1379030/1,1379030,1889662,1,ChatGPT developer tools,That annoying bell sound after every voice answer ! why?,help/problem report without enough context
odc_0051,"You mean like this, so you can explain to your video call avatar what they should do? Try CRDT… Ah and welcome to the developer community - where we steal your ideas long before you write them here haha.",actionable,validation,https://community.openai.com/t/how-should-i-architect-an-ai-agent-that-edits-a-visual-canvas-through-tools-json-state/1382929/2,1382929,1903870,2,Community,How should I architect an AI agent that edits a visual canvas through tools / JSON state?,some concrete technical context
odc_0052,"I created my own GPT that provides a response based on an input document (e.g. PDF). As part of the reasoning response I would like to have the page number associated with the generated answer, i.e. based on the most relevant page that was used to generate the answer. Right now I get correct responses, but hallucinated page numbers. Is this at all possible? Or is it that the chunking and indexing behind the scenes is agnostic to page numbers?",actionable,train,https://community.openai.com/t/obtaining-correct-pdf-page-number-in-the-response-using-gpts/524103/1,524103,703407,1,Prompting,Obtaining correct PDF page number in the response using GPTs,some concrete technical context
